first_name,last_name,company_domain,title,source_of_truth
Nick,Graham,formlabs.com,CRO,LinkedIn (Verified)
Nick,Tippmann,tiptopvc.com,Founder & Managing Partner,LinkedIn (Verified)
Nick,Wentz,forwardfuture.com,Co-Founder,LinkedIn (Verified)
Ozge,Ozcan,forter.com,Chief Customer Officer,LinkedIn (Verified)
Pete,Burchard,sequelio.com,SVP Revenue Growth,LinkedIn (Verified)
Phil,Ye,flextigerascend.com,Founder & Principle,LinkedIn (Verified)
Pramod,Iyengar,inc.com,Chief Financial Officer,LinkedIn (Verified)
Rachel,Miller,forcemanagement.com,CMO,LinkedIn (Verified)
Rex,Gelb,summitchase.com,Founder/CEO,LinkedIn (Verified)
Ronak,Majmudar,zuora.com,Senior Vice President Global Customer Success & Solution Engineering,LinkedIn (Verified)
Ryan,Radding,salesforce.com,Senior Vice President (SVP) U.S. and Canada Financial Services Enterprise Sales,LinkedIn (Verified)
Salman,Syed,astrada.com,CEO,LinkedIn (Verified)
Scott,Barbour,raindefense.com,CEO,LinkedIn (Verified)
Sean,Holcombe,qualtrics.com,Executive Vice President,LinkedIn (Verified)
Semir,Jahic,salesmotionio.com,CEO & Co-Founder,LinkedIn (Verified)
Shawn,Green,carbon6.com,Chief Revenue Officer EVP GTM,LinkedIn (Verified)
Steve,Travaglini,winrate.com,Founder,LinkedIn (Verified)
Tom,Pae,charliemike.com,Founder,LinkedIn (Verified)
Tom,Salah,blanccotechnologygroup.com,CRO,LinkedIn (Verified)
Tom,Scopazzi,stealth.com,Founder,LinkedIn (Verified)
Travis,Dion,walkme.com,Senior Vice President,LinkedIn (Verified)
Tyler,Hoffman,branchingminds.com,SVP,LinkedIn (Verified)
